id,name,published_at,url,area_name,salary_from,salary_to,salary_currency,employer_name,employer_url,snippet_requirement,snippet_responsibility,address_raw,address_lat,address_lng,address_metro_station_name
78028887,Middle NLP/C++ разработчик в Поиск,2023-03-14T11:48:53+0300,https://hh.ru/vacancy/78028887,Москва,,,,2ГИС,https://api.hh.ru/employers/64174,"Мы ищем разработчика с опытом с проектирования и разработки высоконагруженных сервисов, а также опытом внедрения NLP моделей и желанием развиваться...","Развитие микросервисной архитектуры сервиса, увеличение производительности Поиска. Планируем сильно увеличить объем данных с сохранением прежних SLA. А также улучшить качество...",,,,
77964516,Senior Go developer (Lead Golang),2023-03-13T11:44:17+0300,https://hh.ru/vacancy/77964516,Москва,350000.0,,RUR,Star-Staff,https://api.hh.ru/employers/5674235,"Опыт работы с высоконагруженными системами и большими данными. База данных: MySql, PostgreSQL (понимание работы индексов, принципов оптимизации запросов). Брокеры очередей. ",Доработка корпоративных высоконагруженных систем хранения и обработки больших объемов данных. Интеграция различных подсистем. Поиск новых технологических решений для поставленных задач.,,,,
77812057,Аналитик (SaaS),2023-03-14T16:01:59+0300,https://hh.ru/vacancy/77812057,Москва,,,,Cloud,https://api.hh.ru/employers/3853446,"Опыт проведения CustDev и использования полученных данных в работе. Владение некоторыми из популярных графических нотаций проектирования (CJM, UML, BPMN, IDEF). ","Анализировать клиентский опыт и готовить клиентскую аналитику. Строить продуктовую аналитику. Разрабатывать и проверять продуктовые гипотезы, формировать и презентовать выводы. ","Москва, 2-я Звенигородская улица, 28",55.762885,37.557026,
77722195,Senior Data Engineer,2023-03-06T14:11:10+0300,https://hh.ru/vacancy/77722195,Москва,,,,Контур,https://api.hh.ru/employers/41862,"Опыт настройки ETL-процессов. Опыт работы с SQL. Понимание CICD концепции. Знание баз данных, особенно аналитических. Опционально — опыт работы...","Внедрять новые подходы, стандарты;. Драйвить изменения, работать над бэклогом.",,,,
77720215,Архитектор,2023-03-06T13:46:55+0300,https://hh.ru/vacancy/77720215,Москва,,,,Bell Integrator,https://api.hh.ru/employers/6189,Опыт работы с базами данных в качестве аналитикаразработчика от пяти лет. - Опыт участия в проектах по созданию и развитию...,Адаптация разработанного функционала для переноса на продуктивный стенд. - Адаптация и расширение модели данных. Документация: - Разработка приемо-сдаточной документации. - ,,,,
78199844,Data engineer,2023-03-17T19:16:32+0300,https://hh.ru/vacancy/78199844,Москва,,,,"МАГНИТ, Розничная сеть",https://api.hh.ru/employers/49357,"Опыт работы архитектором баз данных, разработчиком хранилища или администратором баз данных. Опыт работы с Postgres-подобными базами (redshift, greenplum). ",Контроль и развитие ETL процессов. Мониторинг загрузки и производительности хранилища данных. Оптимизация хранилища и запросов. Поддержка аналитиков и других пользователей.,,,,
77031647,Бизнес-аналитик (IT проекты),2023-03-17T18:18:58+0300,https://hh.ru/vacancy/77031647,Москва,,,,Эмбедика,https://api.hh.ru/employers/4598746,"Имеешь опыт участия в проектах по разработке IT-решений на позиции аналитика от 2х лет (понимаешь процессы разработки, “agile...","Сбором, анализом и оптимизацией бизнес-требований от Заказчика. Изучением предметной области, процессов и направлений работы компании. Выявлением функций для автоматизации...","Москва, Калужско-Рижская линия, метро Октябрьская",55.731029,37.612254,
77582691,Главный разработчик,2023-03-02T10:40:27+0300,https://hh.ru/vacancy/77582691,Москва,,250000.0,RUR,Группа СМП Банк,https://api.hh.ru/employers/41296,"Опыт разработки хранилищ данных. Владение одним из промышленных ETL инструментов (Informatica Powercenter, Oracle DI, IBM Data Stage, Pentaho и т...",Формирование pipeline загрузки (Jenkins). Разработка отчетов (SharepointReport Builder). Взаимодействие с аналитиками в процессе проектирования и реализации задач. ,,,,
77944254,Финансовый аналитик,2023-03-17T13:43:27+0300,https://hh.ru/vacancy/77944254,Москва,100000.0,,RUR,Ростелеком,https://api.hh.ru/employers/2748,Высшее образование. Опыт работы финансовым или data аналитиком в крупной компании от 1 года. Знание SQL. Опыт работы с VB...,"Формирование периодической отчетности и справок по различным продуктам Продуктовых офисов. Выгрузка исходных данных из различных систем, преобразование в необходимый формат. ","Москва, проспект Вернадского, 41",55.67459,37.503468,Проспект Вернадского
73828825,Data инженер,2023-03-17T12:05:24+0300,https://hh.ru/vacancy/73828825,Москва,,,,Mediascope,https://api.hh.ru/employers/2739341,Опыт разработки на python. Иметь базовые навыки обращения с консолью linux. Иметь базовый навык работы с git. Иметь уверенный средний...,"Разработка и оптимизация прикладных компонент платформы (приложений, выполняющих преобразования данных, конвейеров последовательного исполнения этих приложений). Взаимодействие с системными аналитиками платформы...",,,,
77329907,Customer Journey Expert (CJE),2023-03-17T14:41:32+0300,https://hh.ru/vacancy/77329907,Москва,,,,Компания БКС,https://api.hh.ru/employers/1833,"Опыт работы от 1 года в роли аналитика данных. Опыт работы в продуктовой команде, которая создавала ИТ решения. ","Анализировать и упрощать клиентский путь участников работы с данными (аналитики, DE, владельцы данных). Участвовать в разработке карты данных организации.","Москва, проспект Мира, 69с1",55.786971,37.634362,Проспект Мира
76859360,Ведущий дата-инженер,2023-03-17T21:48:14+0300,https://hh.ru/vacancy/76859360,Москва,,,,Mediascope,https://api.hh.ru/employers/2739341,...Hadoop и оркестратора процессов обработки данных Airflow. Опыт работы или интерес к сфере Качества данныхData Quality. Интерес к техническому...,Группа мониторинга платформы данных следит за корректностью и своевременностью отработки ETL-pipelin'ов обработки данных для отправки клиентам. ,"Москва, улица Двинцев, 12к1Б",55.796764,37.599013,Марьина Роща
78181417,Эксперт отдела исследований клиентского опыта,2023-03-17T13:08:56+0300,https://hh.ru/vacancy/78181417,Москва,,,,Банк ВТБ (ПАО),https://api.hh.ru/employers/4181,"Знание SQL (как преимущество). Опыт работы с хранилищами данных: выгрузка данных, построение агрегатов. Знание алгоритмов ML: деревьев решений и случайных...","...внутренних данных и данных из опросов клиентов. Анализ данных соц.медиа: решение задач, связанных с текстовой аналитикой. Подготовка данных (data-set...","Москва, Пресненская набережная, 12",55.749395,37.536967,Выставочная
77434528,Lead Data Engineer,2023-02-27T14:36:38+0300,https://hh.ru/vacancy/77434528,Москва,,,,КОРУС Консалтинг,https://api.hh.ru/employers/675,Опыт работы с СУБД PostgreSQL (от 3-х лет). Опыт работы с Apache AirFlow и Apache NiFi от 3-х...,"Реализовывать расчетные показатели. Писать новый и поддерживать имеющийся код процедур и структуры баз данных. Управлять командой, распределять задачи, заниматься ресурсным...",,,,
77544025,Архитектор Pre-sales,2023-03-01T13:51:23+0300,https://hh.ru/vacancy/77544025,Москва,,,,Аренадата Софтвер,https://api.hh.ru/employers/4813742,Уверенно ориентируетесь в предметных областях Data Lake  LakeHouse  Data Warehousing  Data Management. Свободно чувствуете при обсуждении архитектуры масштабируемых аналитических и...,"Наполнять демонстрационные стенды и выполнять демонстрации возможностей решений Arenadata, включая live-demo. Заниматься проактивным сбором данных о потребностях заказчиков, конвертацией...","Москва, улица Годовикова, 9с17",55.80865,37.629403,
